,filepath,category
0,/mnt/hbnas/datasets/video_classification_videos/h264-vp9-150s/trans-150s/Beauty & Fashion/Yuya/Yuya165.webm,News
1,/mnt/hbnas/datasets/video_classification_videos/h264-vp9-150s/trans-150s/Beauty & Fashion/Yuya/Yuya9.webm,News
2,/mnt/hbnas/datasets/video_classification_videos/h264-vp9-150s/trans-150s/Beauty & Fashion/Yuya/Yuya24.webm,News
3,/mnt/hbnas/datasets/video_classification_videos/h264-vp9-150s/trans-150s/Beauty & Fashion/Yuya/Yuya336.webm,News
4,/mnt/hbnas/datasets/video_classification_videos/h264-vp9-150s/trans-150s/Beauty & Fashion/Yuya/Yuya91.webm,News
5,/mnt/hbnas/datasets/video_classification_videos/h264-vp9-150s/trans-150s/Beauty & Fashion/Yuya/Yuya420.webm,News
6,/mnt/hbnas/datasets/video_classification_videos/h264-vp9-150s/trans-150s/Beauty & Fashion/Yuya/Yuya204.webm,News
7,/mnt/hbnas/datasets/video_classification_videos/h264-vp9-150s/trans-150s/Beauty & Fashion/Yuya/Yuya237.webm,News
8,/mnt/hbnas/datasets/video_classification_videos/h264-vp9-150s/trans-150s/Beauty & Fashion/Yuya/Yuya82.webm,News
9,/mnt/hbnas/datasets/video_classification_videos/h264-vp9-150s/trans-150s/Beauty & Fashion/Yuya/Yuya39.webm,News
10,/mnt/hbnas/datasets/video_classification_videos/h264-vp9-150s/trans-150s/Beauty & Fashion/Yuya/Yuya73.webm,News
11,/mnt/hbnas/datasets/video_classification_videos/h264-vp9-150s/trans-150s/Beauty & Fashion/Yuya/Yuya412.webm,News
12,/mnt/hbnas/datasets/video_classification_videos/h264-vp9-150s/trans-150s/Beauty & Fashion/Yuya/Yuya501.webm,News
13,/mnt/hbnas/datasets/video_classification_videos/h264-vp9-150s/trans-150s/Beauty & Fashion/Yuya/Yuya318.webm,News
14,/mnt/hbnas/datasets/video_classification_videos/h264-vp9-150s/trans-150s/Beauty & Fashion/Yuya/Yuya291.webm,News
15,/mnt/hbnas/datasets/video_classification_videos/h264-vp9-150s/trans-150s/Beauty & Fashion/Yuya/Yuya194.webm,News
16,/mnt/hbnas/datasets/video_classification_videos/h264-vp9-150s/trans-150s/Beauty & Fashion/Yuya/Yuya280.webm,News
17,/mnt/hbnas/datasets/video_classification_videos/h264-vp9-150s/trans-150s/Beauty & Fashion/Yuya/Yuya480.webm,News
18,/mnt/hbnas/datasets/video_classification_videos/h264-vp9-150s/trans-150s/Beauty & Fashion/Yuya/Yuya471.webm,News
19,/mnt/hbnas/datasets/video_classification_videos/h264-vp9-150s/trans-150s/Beauty & Fashion/Yuya/Yuya211.webm,News
